X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_3d,distance_travelled,bin
513161.3020155785,7541808.726031144,NA,2.740260460609288,1.5413965090927244,2021-01-08T09:12:20Z,00:23:59,15.314696,67.99023167,622.3,1435,15.314696,67.99023167,622.3,1435,1.1082965906347728,516.8187786033128,"(500,600]"
513160.747202028,7541808.636241694,NA,2.735204936836262,1.5385527769703973,2021-01-08T09:12:21Z,NA,NA,NA,NA,NA,15.314682723333332,67.99023089,622.2333333333333,1436,0.5659723187735752,517.3847509220865,"(500,600]"
513160.19238843967,7541808.546452362,NA,2.7301494130632356,1.53570904484807,2021-01-08T09:12:22Z,NA,NA,NA,NA,NA,15.314669446666668,67.99023011,622.1666666666666,1437,0.5659723370982539,517.9507232591847,"(500,600]"
513159.6375748133,7541808.456663151,NA,2.7250938892902092,1.5328653127257426,2021-01-08T09:12:23Z,00:24:01,15.31465617,67.99022933,622.1,1438,15.31465617,67.99022933,622.1,1438,0.5659723551508609,518.5166956143355,"(500,600]"
513158.901512319,7541807.877055996,NA,2.720038365517183,1.5300215806034154,2021-01-08T09:12:24Z,NA,NA,NA,NA,NA,15.3146385,67.990224165,622.05,1439,0.9382070399981522,519.4549026543338,"(500,600]"
513158.1654494943,7541807.297449054,[1440.684309],2.7149828417441566,1.527177848481088,2021-01-08T09:12:25Z,00:24:03,15.31462083,67.990219,622,1440,15.31462083,67.990219,622,1440,0.9382071673985865,520.3931098217323,"(500,600]"
513157.3169592857,7541806.949174693,NA,2.7231573478515783,1.5317760081665126,2021-01-08T09:12:26Z,NA,NA,NA,NA,NA,15.3146005,67.990215915,622,1441,0.9171862760054096,521.3102960977377,"(500,600]"
513156.46846884966,7541806.600900613,NA,2.7313318539589995,1.5363741678519371,2021-01-08T09:12:27Z,00:24:04,15.31458017,67.99021283,622,1442,15.31458017,67.99021283,622,1442,0.9171863795895968,522.2274824773273,"(500,600]"
513156.01746353594,7541806.877336486,NA,2.739506360066421,1.540972327537362,2021-01-08T09:12:28Z,NA,NA,NA,NA,NA,15.31456942,67.99021533000001,621.95,1443,0.5313403665688655,522.7588228438962,"(500,600]"
513155.56645831896,7541807.15377244,NA,2.7476808661738423,1.5455704872227864,2021-01-08T09:12:29Z,00:24:06,15.31455867,67.99021783,621.9,1444,15.31455867,67.99021783,621.9,1444,0.5313403261240396,523.2901631700202,"(500,600]"
513155.24681855185,7541806.929160194,NA,2.755855372281264,1.550168646908211,2021-01-08T09:12:30Z,00:24:08,15.314551,67.99021583,621.9,1445,15.314551,67.99021583,621.9,1445,0.39066640742861,523.6808295774488,"(500,600]"
